order_id,customer_id,order_date,product_id,quantity,unit_price,total_amount,currency,payment_method,payment_status,order_status,shipping_method,tracking_number,expected_delivery_date,actual_delivery_date,created_at,updated_at
ORD-00011,CUS-0189,2025-07-26,PROD-096,5,93.24,466.20,USD,credit_card,paid,cancelled,express,TRACK-RXONBNPJ,2025-07-28,,2025-07-26T00:00:00Z,2025-10-26T00:00:00Z
ORD-00012,CUS-0618,2024-12-09,PROD-100,1,46.48,46.48,USD,credit_card,paid,processing,standard,TRACK-TCV1LTWB,2024-12-16,,2024-12-09T00:00:00Z,2025-09-26T00:00:00Z
ORD-00013,CUS-0579,2025-07-31,PROD-006,4,1049.94,4199.76,USD,paypal,paid,placed,standard,TRACK-7AMKOH10,2025-08-06,,2025-07-31T00:00:00Z,2025-08-24T00:00:00Z
ORD-00014,CUS-0340,2025-05-30,PROD-053,1,574.29,574.29,USD,bank_transfer,paid,delivered,international,TRACK-FVNV4KFQ,2025-06-29,2025-06-29,2025-05-30T00:00:00Z,2025-07-28T00:00:00Z
ORD-00015,CUS-0906,2025-11-28,PROD-028,2,249.80,499.60,USD,debit_card,paid,delayed,standard,TRACK-9S9VS1QE,2025-12-05,,2025-11-28T00:00:00Z,2025-12-25T00:00:00Z
ORD-00016,CUS-0041,2025-11-30,PROD-092,4,102.76,411.04,USD,debit_card,paid,processing,express,TRACK-V8U9DA1L,2025-12-02,,2025-11-30T00:00:00Z,2025-12-06T00:00:00Z
ORD-00017,CUS-0466,2024-06-22,PROD-041,3,22.71,68.13,USD,paypal,paid,confirmed,standard,TRACK-UMCZQ991,2024-06-30,,2024-06-22T00:00:00Z,2024-11-12T00:00:00Z
ORD-00018,CUS-0963,2025-08-05,PROD-016,4,551.74,2206.96,USD,debit_card,paid,placed,express,TRACK-OWYPSWLD,2025-08-08,,2025-08-05T00:00:00Z,2025-11-28T00:00:00Z
ORD-00019,CUS-0270,2024-02-13,PROD-088,5,191.92,959.60,USD,debit_card,refunded,refunded,next_day,TRACK-2ZUFDNU4,2024-02-14,2024-02-15,2024-02-13T00:00:00Z,2025-05-31T00:00:00Z
ORD-00020,CUS-0686,2024-12-23,PROD-012,4,922.70,3690.80,USD,credit_card,paid,out_for_delivery,express,TRACK-6QD0771H,2024-12-26,,2024-12-23T00:00:00Z,2025-06-03T00:00:00Z
ORD-00021,CUS-0351,2025-05-12,PROD-078,2,251.87,503.74,USD,debit_card,paid,delivered,express,TRACK-EQT8FHU9,2025-05-15,2025-05-15,2025-05-12T00:00:00Z,2025-11-30T00:00:00Z
ORD-00022,CUS-0441,2024-08-06,PROD-061,1,118.46,118.46,USD,debit_card,paid,processing,standard,TRACK-8YJWDCOK,2024-08-16,,2024-08-06T00:00:00Z,2025-10-09T00:00:00Z
ORD-00023,CUS-0538,2025-11-16,PROD-028,3,249.80,749.40,USD,credit_card,paid,processing,standard,TRACK-D6M1FMPR,2025-11-26,,2025-11-16T00:00:00Z,2025-12-30T00:00:00Z
ORD-00024,CUS-0448,2025-12-10,PROD-046,5,67.55,337.75,USD,bank_transfer,paid,shipped,standard,TRACK-U6H0UFX3,2025-12-20,,2025-12-10T00:00:00Z,2025-12-20T00:00:00Z
ORD-00025,CUS-0015,2025-04-14,PROD-020,2,848.04,1696.08,USD,paypal,paid,out_for_delivery,standard,TRACK-E8OSAQ3E,2025-04-22,,2025-04-14T00:00:00Z,2025-06-02T00:00:00Z
ORD-00026,CUS-0038,2024-07-11,PROD-028,4,249.80,999.20,USD,credit_card,paid,delivered,international,TRACK-FNM88UA3,2024-07-21,2024-07-23,2024-07-11T00:00:00Z,2025-12-07T00:00:00Z
ORD-00027,CUS-0839,2025-12-17,PROD-016,4,551.74,2206.96,USD,paypal,paid,delivered,express,TRACK-OM3P9M7Q,2025-12-20,2025-12-21,2025-12-17T00:00:00Z,2025-12-22T00:00:00Z
ORD-00028,CUS-0556,2025-01-25,PROD-056,3,520.14,1560.42,USD,paypal,paid,cancelled,next_day,TRACK-PKW7493D,2025-01-26,,2025-01-25T00:00:00Z,2025-02-02T00:00:00Z
ORD-00029,CUS-0632,2024-04-16,PROD-053,4,574.29,2297.16,USD,credit_card,paid,delivered,express,TRACK-7DPUBKPI,2024-04-19,2024-04-22,2024-04-16T00:00:00Z,2024-11-02T00:00:00Z
ORD-00030,CUS-0877,2024-05-07,PROD-061,3,118.46,355.38,USD,credit_card,partially_refunded,refunded,express,TRACK-6X2O72SJ,2024-05-11,2024-05-13,2024-05-07T00:00:00Z,2025-07-05T00:00:00Z
ORD-00031,CUS-0690,2024-01-05,PROD-031,4,88.52,354.08,USD,debit_card,pending,placed,standard,TRACK-24S0LGUP,2024-01-14,,2024-01-05T00:00:00Z,2024-07-20T00:00:00Z
ORD-00032,CUS-0632,2025-02-06,PROD-083,1,189.30,189.30,USD,debit_card,paid,cancelled,express,TRACK-EW9G6SPD,2025-02-08,,2025-02-06T00:00:00Z,2025-04-07T00:00:00Z
ORD-00033,CUS-0647,2025-02-05,PROD-074,3,76.36,229.08,USD,paypal,refunded,cancelled,standard,TRACK-HDPWVBZ7,2025-02-10,,2025-02-05T00:00:00Z,2025-08-19T00:00:00Z
ORD-00034,CUS-0026,2024-05-13,PROD-096,4,93.24,372.96,USD,credit_card,paid,delivered,international,TRACK-MI6KTI22,2024-05-31,2024-05-31,2024-05-13T00:00:00Z,2024-08-05T00:00:00Z
ORD-00035,CUS-0958,2025-10-04,PROD-019,1,1140.33,1140.33,USD,debit_card,paid,delivered,express,TRACK-5D7EFJGC,2025-10-07,2025-10-08,2025-10-04T00:00:00Z,2025-10-16T00:00:00Z
ORD-00036,CUS-0503,2025-02-27,PROD-003,1,986.69,986.69,USD,credit_card,paid,out_for_delivery,next_day,TRACK-CYNL63GA,2025-02-28,,2025-02-27T00:00:00Z,2025-12-14T00:00:00Z
ORD-00037,CUS-0647,2024-02-02,PROD-078,1,251.87,251.87,USD,credit_card,partially_refunded,refunded,express,TRACK-9VASJEVT,2024-02-06,2024-02-07,2024-02-02T00:00:00Z,2025-02-09T00:00:00Z
ORD-00038,CUS-0118,2024-01-31,PROD-028,3,249.80,749.40,USD,debit_card,paid,confirmed,standard,TRACK-07JR8MTK,2024-02-10,,2024-01-31T00:00:00Z,2025-04-21T00:00:00Z
ORD-00039,CUS-0525,2024-07-16,PROD-052,3,580.62,1741.86,USD,bank_transfer,paid,confirmed,next_day,TRACK-4Z8D2VFH,2024-07-17,,2024-07-16T00:00:00Z,2025-11-27T00:00:00Z
ORD-00040,CUS-0444,2025-03-09,PROD-058,5,354.13,1770.65,USD,paypal,paid,delivered,standard,TRACK-WVPUNWCG,2025-03-14,2025-03-16,2025-03-09T00:00:00Z,2025-10-04T00:00:00Z
ORD-00041,CUS-0301,2025-10-22,PROD-078,5,251.87,1259.35,USD,credit_card,paid,shipped,standard,TRACK-E3PGIHNF,2025-10-29,,2025-10-22T00:00:00Z,2025-10-23T00:00:00Z
ORD-00042,CUS-0327,2024-01-12,PROD-089,3,304.67,914.01,USD,paypal,paid,processing,express,TRACK-26UNVSDK,2024-01-16,,2024-01-12T00:00:00Z,2024-03-28T00:00:00Z
ORD-00043,CUS-0588,2025-03-07,PROD-083,4,189.30,757.20,USD,debit_card,paid,shipped,standard,TRACK-HBRBJEQV,2025-03-16,,2025-03-07T00:00:00Z,2025-07-06T00:00:00Z
ORD-00044,CUS-0591,2024-10-18,PROD-003,1,986.69,986.69,USD,credit_card,paid,delivered,express,TRACK-96K4O67B,2024-10-22,2024-10-22,2024-10-18T00:00:00Z,2025-06-15T00:00:00Z
ORD-00045,CUS-0098,2024-11-04,PROD-054,3,511.50,1534.50,USD,debit_card,paid,shipped,standard,TRACK-OULWOZQ4,2024-11-09,,2024-11-04T00:00:00Z,2025-09-16T00:00:00Z
ORD-00046,CUS-0106,2024-08-17,PROD-004,1,2579.89,2579.89,USD,credit_card,refunded,cancelled,standard,TRACK-950ID033,2024-08-26,,2024-08-17T00:00:00Z,2025-12-08T00:00:00Z
ORD-00047,CUS-0705,2024-09-22,PROD-007,1,2312.54,2312.54,USD,credit_card,paid,confirmed,standard,TRACK-CLW3JGEQ,2024-09-28,,2024-09-22T00:00:00Z,2025-12-07T00:00:00Z
ORD-00048,CUS-0152,2025-08-21,PROD-097,4,43.21,172.84,USD,crypto,paid,delivered,next_day,TRACK-ESUX9L0I,2025-08-22,2025-08-24,2025-08-21T00:00:00Z,2025-11-04T00:00:00Z
ORD-00049,CUS-0729,2024-12-27,PROD-011,5,1007.07,5035.35,USD,debit_card,refunded,cancelled,next_day,TRACK-X4ZCRHYQ,2024-12-28,,2024-12-27T00:00:00Z,2025-04-02T00:00:00Z
ORD-00050,CUS-0500,2024-12-14,PROD-014,2,474.04,948.08,USD,debit_card,paid,cancelled,express,TRACK-41LQFS6H,2024-12-17,,2024-12-14T00:00:00Z,2025-08-02T00:00:00Z
ORD-00051,CUS-0889,2025-06-09,PROD-080,2,255.93,511.86,USD,credit_card,paid,delayed,standard,TRACK-CPY8UDQD,2025-06-14,,2025-06-09T00:00:00Z,2025-06-13T00:00:00Z
ORD-00052,CUS-0916,2024-07-10,PROD-059,3,284.59,853.77,USD,debit_card,paid,placed,standard,TRACK-J7DPFSSB,2024-07-17,,2024-07-10T00:00:00Z,2024-10-18T00:00:00Z
ORD-00053,CUS-0051,2025-01-26,PROD-084,4,52.10,208.40,USD,credit_card,paid,processing,standard,TRACK-OVTRPYX8,2025-02-01,,2025-01-26T00:00:00Z,2025-02-22T00:00:00Z
ORD-00054,CUS-0917,2025-08-12,PROD-005,3,925.08,2775.24,USD,debit_card,paid,processing,express,TRACK-DIWZOD05,2025-08-15,,2025-08-12T00:00:00Z,2025-10-03T00:00:00Z
ORD-00055,CUS-0176,2024-12-21,PROD-027,3,795.29,2385.87,USD,credit_card,paid,delivered,standard,TRACK-0DSZRK6I,2024-12-28,2024-12-28,2024-12-21T00:00:00Z,2025-03-26T00:00:00Z
ORD-00056,CUS-0341,2024-05-25,PROD-059,1,284.59,284.59,USD,debit_card,paid,delivered,express,TRACK-MGJCY4V8,2024-05-29,2024-05-29,2024-05-25T00:00:00Z,2025-02-02T00:00:00Z
ORD-00057,CUS-0484,2024-02-16,PROD-015,1,987.77,987.77,USD,debit_card,paid,delivered,standard,TRACK-4SGFDK0Q,2024-02-26,2024-02-28,2024-02-16T00:00:00Z,2024-11-05T00:00:00Z
ORD-00058,CUS-0680,2024-09-16,PROD-063,3,328.94,986.82,USD,bank_transfer,paid,out_for_delivery,standard,TRACK-KMSX54RJ,2024-09-25,,2024-09-16T00:00:00Z,2025-08-09T00:00:00Z
ORD-00059,CUS-0022,2025-02-24,PROD-019,2,1140.33,2280.66,USD,credit_card,paid,delivered,standard,TRACK-MBUZPHD7,2025-03-04,2025-03-04,2025-02-24T00:00:00Z,2025-11-29T00:00:00Z
ORD-00060,CUS-0921,2025-06-23,PROD-058,2,354.13,708.26,USD,paypal,paid,shipped,next_day,TRACK-MLV8JGUZ,2025-06-24,,2025-06-23T00:00:00Z,2025-07-24T00:00:00Z
ORD-00061,CUS-0444,2025-08-03,PROD-059,3,284.59,853.77,USD,credit_card,paid,shipped,standard,TRACK-RYQF8WXK,2025-08-10,,2025-08-03T00:00:00Z,2025-10-17T00:00:00Z
ORD-00062,CUS-0016,2024-02-11,PROD-059,2,284.59,569.18,USD,paypal,paid,shipped,express,TRACK-ERAM4BE5,2024-02-15,,2024-02-11T00:00:00Z,2025-09-07T00:00:00Z
ORD-00063,CUS-0159,2025-12-31,PROD-012,3,922.70,2768.10,USD,debit_card,paid,confirmed,next_day,TRACK-HVCHRM3W,2026-01-01,,2025-12-31T00:00:00Z,2026-01-01T00:00:00Z
ORD-00064,CUS-0991,2024-09-24,PROD-013,3,1278.38,3835.14,USD,credit_card,paid,delivered,standard,TRACK-UYLUYHET,2024-10-01,2024-10-03,2024-09-24T00:00:00Z,2025-02-23T00:00:00Z
ORD-00065,CUS-0581,2025-04-17,PROD-081,5,150.38,751.90,USD,debit_card,paid,processing,express,TRACK-DSYSYMMQ,2025-04-20,,2025-04-17T00:00:00Z,2025-05-01T00:00:00Z
ORD-00066,CUS-0935,2024-01-28,PROD-072,4,172.02,688.08,USD,credit_card,pending,placed,express,TRACK-62UNW65B,2024-01-31,,2024-01-28T00:00:00Z,2025-03-15T00:00:00Z
ORD-00067,CUS-0687,2025-04-18,PROD-001,5,2193.82,10969.10,USD,credit_card,paid,out_for_delivery,standard,TRACK-DJ9DV3UY,2025-04-23,,2025-04-18T00:00:00Z,2025-05-15T00:00:00Z
ORD-00068,CUS-0719,2025-06-12,PROD-027,2,795.29,1590.58,USD,credit_card,paid,delivered,express,TRACK-E6XFWZ73,2025-06-16,2025-06-17,2025-06-12T00:00:00Z,2025-06-29T00:00:00Z
ORD-00069,CUS-0001,2025-09-10,PROD-020,1,848.04,848.04,USD,paypal,paid,delivered,standard,TRACK-HR3PCEO9,2025-09-16,2025-09-18,2025-09-10T00:00:00Z,2025-12-06T00:00:00Z
ORD-00070,CUS-0450,2025-09-23,PROD-085,1,152.73,152.73,USD,credit_card,paid,out_for_delivery,next_day,TRACK-AF0ISZHR,2025-09-24,,2025-09-23T00:00:00Z,2025-12-17T00:00:00Z
ORD-00071,CUS-0103,2025-05-19,PROD-076,3,158.70,476.10,USD,credit_card,paid,delivered,express,TRACK-N2Q3FKEO,2025-05-23,2025-05-25,2025-05-19T00:00:00Z,2025-10-31T00:00:00Z
ORD-00072,CUS-0667,2025-09-26,PROD-085,4,152.73,610.92,USD,debit_card,paid,placed,standard,TRACK-Q0J9M4SM,2025-10-06,,2025-09-26T00:00:00Z,2025-11-14T00:00:00Z
ORD-00073,CUS-0526,2024-06-27,PROD-009,2,788.22,1576.44,USD,paypal,paid,shipped,next_day,TRACK-UQ4F2X7C,2024-06-28,,2024-06-27T00:00:00Z,2025-11-04T00:00:00Z
ORD-00074,CUS-0386,2025-09-12,PROD-061,2,118.46,236.92,USD,bank_transfer,paid,delivered,express,TRACK-1SEL8MWO,2025-09-14,2025-09-14,2025-09-12T00:00:00Z,2025-10-02T00:00:00Z
ORD-00075,CUS-0238,2025-11-12,PROD-013,1,1278.38,1278.38,USD,debit_card,paid,out_for_delivery,next_day,TRACK-R1930I6G,2025-11-13,,2025-11-12T00:00:00Z,2025-12-30T00:00:00Z
ORD-00076,CUS-0997,2024-03-06,PROD-054,1,511.50,511.50,USD,credit_card,paid,delivered,standard,TRACK-B0PNWBGD,2024-03-14,2024-03-17,2024-03-06T00:00:00Z,2025-12-18T00:00:00Z
ORD-00077,CUS-0588,2024-07-23,PROD-072,2,172.02,344.04,USD,credit_card,paid,shipped,express,TRACK-YI0PT2DA,2024-07-27,,2024-07-23T00:00:00Z,2025-02-16T00:00:00Z
ORD-00078,CUS-0035,2024-01-06,PROD-018,3,1487.38,4462.14,USD,debit_card,paid,delayed,express,TRACK-TCG06XR3,2024-01-10,,2024-01-06T00:00:00Z,2025-06-01T00:00:00Z
ORD-00079,CUS-0361,2025-09-25,PROD-046,5,67.55,337.75,USD,debit_card,refunded,cancelled,express,TRACK-PNCC2KEI,2025-09-29,,2025-09-25T00:00:00Z,2025-11-06T00:00:00Z
ORD-00080,CUS-0024,2024-10-23,PROD-029,3,868.72,2606.16,USD,paypal,paid,shipped,standard,TRACK-C58CU47S,2024-10-31,,2024-10-23T00:00:00Z,2024-11-21T00:00:00Z
ORD-00081,CUS-0560,2024-04-23,PROD-090,5,289.84,1449.20,USD,bank_transfer,paid,out_for_delivery,standard,TRACK-XBPH5CH3,2024-04-30,,2024-04-23T00:00:00Z,2024-06-25T00:00:00Z
ORD-00082,CUS-0242,2024-03-15,PROD-064,5,384.19,1920.95,USD,credit_card,refunded,returned,standard,TRACK-98VWCT8J,2024-03-20,2024-03-20,2024-03-15T00:00:00Z,2025-08-05T00:00:00Z
ORD-00083,CUS-0520,2025-10-27,PROD-029,3,868.72,2606.16,USD,paypal,paid,out_for_delivery,standard,TRACK-25I7A2HV,2025-11-04,,2025-10-27T00:00:00Z,2025-10-29T00:00:00Z
ORD-00084,CUS-0566,2024-02-23,PROD-062,4,282.17,1128.68,USD,credit_card,paid,delayed,next_day,TRACK-EZTEEW6M,2024-02-24,,2024-02-23T00:00:00Z,2025-05-15T00:00:00Z
ORD-00085,CUS-0941,2024-08-31,PROD-008,2,1441.53,2883.06,USD,credit_card,pending,placed,standard,TRACK-O13TB25I,2024-09-05,,2024-08-31T00:00:00Z,2024-09-29T00:00:00Z
ORD-00086,CUS-0130,2024-07-03,PROD-057,3,81.68,245.04,USD,credit_card,paid,placed,express,TRACK-XIKVRECJ,2024-07-07,,2024-07-03T00:00:00Z,2025-11-21T00:00:00Z
ORD-00087,CUS-0723,2024-12-31,PROD-095,2,106.35,212.70,USD,credit_card,paid,out_for_delivery,standard,TRACK-72KXSJZS,2025-01-05,,2024-12-31T00:00:00Z,2025-07-29T00:00:00Z
ORD-00088,CUS-0723,2025-05-12,PROD-080,3,255.93,767.79,USD,bank_transfer,pending,placed,express,TRACK-I0HN3F9Z,2025-05-16,,2025-05-12T00:00:00Z,2025-09-05T00:00:00Z
ORD-00089,CUS-0976,2024-01-22,PROD-015,4,987.77,3951.08,USD,credit_card,failed,cancelled,standard,TRACK-VK8C4NAN,2024-01-30,,2024-01-22T00:00:00Z,2024-09-07T00:00:00Z
ORD-00090,CUS-0211,2024-07-07,PROD-049,4,49.02,196.08,USD,bank_transfer,paid,delivered,next_day,TRACK-KTMAV676,2024-07-08,2024-07-09,2024-07-07T00:00:00Z,2024-08-04T00:00:00Z
ORD-00091,CUS-0350,2025-09-28,PROD-093,4,61.11,244.44,USD,debit_card,paid,cancelled,next_day,TRACK-13T87K9T,2025-09-29,,2025-09-28T00:00:00Z,2025-12-10T00:00:00Z
ORD-00092,CUS-0737,2025-06-15,PROD-073,3,114.42,343.26,USD,credit_card,paid,confirmed,standard,TRACK-Q9I6KYJ9,2025-06-24,,2025-06-15T00:00:00Z,2025-09-09T00:00:00Z
ORD-00093,CUS-0585,2024-02-09,PROD-051,5,450.36,2251.80,USD,debit_card,paid,shipped,standard,TRACK-X23VEULJ,2024-02-15,,2024-02-09T00:00:00Z,2025-05-27T00:00:00Z
ORD-00094,CUS-0018,2024-01-10,PROD-057,4,81.68,326.72,USD,credit_card,paid,placed,express,TRACK-WUOUC6T8,2024-01-13,,2024-01-10T00:00:00Z,2024-09-30T00:00:00Z
ORD-00095,CUS-0785,2024-09-22,PROD-036,4,341.40,1365.60,USD,credit_card,paid,confirmed,next_day,TRACK-G5XIXGSP,2024-09-23,,2024-09-22T00:00:00Z,2024-10-13T00:00:00Z
ORD-00096,CUS-0567,2024-08-21,PROD-092,1,102.76,102.76,USD,credit_card,partially_refunded,refunded,standard,TRACK-A44TBIDS,2024-08-26,2024-08-26,2024-08-21T00:00:00Z,2024-12-03T00:00:00Z
ORD-00097,CUS-0334,2025-01-15,PROD-074,4,76.36,305.44,USD,credit_card,paid,placed,standard,TRACK-FL2MOXQ9,2025-01-24,,2025-01-15T00:00:00Z,2025-04-07T00:00:00Z
ORD-00098,CUS-0378,2024-10-24,PROD-006,2,1049.94,2099.88,USD,paypal,refunded,returned,standard,TRACK-V3S2SUMH,2024-11-02,2024-11-02,2024-10-24T00:00:00Z,2025-10-30T00:00:00Z
ORD-00099,CUS-0154,2025-10-26,PROD-049,1,49.02,49.02,USD,credit_card,refunded,refunded,express,TRACK-SUTP04SB,2025-10-29,2025-11-01,2025-10-26T00:00:00Z,2025-11-29T00:00:00Z
ORD-00100,CUS-0200,2024-10-27,PROD-074,2,76.36,152.72,USD,debit_card,paid,shipped,international,TRACK-9IL9YQ8O,2024-11-08,,2024-10-27T00:00:00Z,2025-08-09T00:00:00Z
ORD-00101,CUS-0518,2025-01-05,PROD-010,4,1931.10,7724.40,USD,paypal,paid,delivered,express,TRACK-2I397I6Y,2025-01-09,2025-01-10,2025-01-05T00:00:00Z,2025-05-18T00:00:00Z
ORD-00102,CUS-0815,2024-12-15,PROD-037,3,290.16,870.48,USD,debit_card,paid,confirmed,express,TRACK-P9UW165A,2024-12-17,,2024-12-15T00:00:00Z,2025-04-28T00:00:00Z
ORD-00103,CUS-0784,2025-12-29,PROD-071,4,489.66,1958.64,USD,credit_card,paid,delivered,standard,TRACK-54AGCSTN,2025-12-31,2025-12-31,2025-12-29T00:00:00Z,2026-01-01T00:00:00Z
ORD-00104,CUS-0714,2024-09-04,PROD-072,3,172.02,516.06,USD,bank_transfer,paid,confirmed,standard,TRACK-VW9B0MQO,2024-09-12,,2024-09-04T00:00:00Z,2025-11-05T00:00:00Z
ORD-00105,CUS-0447,2025-05-03,PROD-038,2,302.64,605.28,USD,credit_card,paid,delivered,next_day,TRACK-167D6VNX,2025-05-04,2025-05-07,2025-05-03T00:00:00Z,2025-08-23T00:00:00Z
ORD-00106,CUS-0181,2025-08-25,PROD-066,3,77.92,233.76,USD,credit_card,refunded,refunded,standard,TRACK-KMU6U4PL,2025-09-01,2025-09-02,2025-08-25T00:00:00Z,2025-09-04T00:00:00Z
ORD-00107,CUS-0834,2024-08-03,PROD-095,4,106.35,425.40,USD,credit_card,paid,delivered,express,TRACK-5LMFKRIG,2024-08-06,2024-08-06,2024-08-03T00:00:00Z,2025-05-15T00:00:00Z
ORD-00108,CUS-0145,2024-07-30,PROD-013,5,1278.38,6391.90,USD,paypal,refunded,cancelled,standard,TRACK-VB6THR3N,2024-08-06,,2024-07-30T00:00:00Z,2025-10-09T00:00:00Z
ORD-00109,CUS-0750,2025-06-17,PROD-057,2,81.68,163.36,USD,credit_card,failed,cancelled,standard,TRACK-Z7E5RDEK,2025-06-27,,2025-06-17T00:00:00Z,2025-09-15T00:00:00Z
ORD-00110,CUS-0823,2024-08-15,PROD-011,1,1007.07,1007.07,USD,bank_transfer,paid,shipped,express,TRACK-MQ0YCY6B,2024-08-17,,2024-08-15T00:00:00Z,2025-09-25T00:00:00Z
ORD-00111,CUS-0534,2024-07-13,PROD-041,5,22.71,113.55,USD,debit_card,paid,delivered,next_day,TRACK-BWAEN7YJ,2024-07-14,2024-07-15,2024-07-13T00:00:00Z,2025-01-20T00:00:00Z
ORD-00112,CUS-0752,2024-10-16,PROD-064,2,384.19,768.38,USD,paypal,paid,processing,standard,TRACK-840ACUHG,2024-10-24,,2024-10-16T00:00:00Z,2025-02-27T00:00:00Z
ORD-00113,CUS-0629,2025-10-08,PROD-049,5,49.02,245.10,USD,paypal,paid,processing,standard,TRACK-RXGKIKR2,2025-10-16,,2025-10-08T00:00:00Z,2025-11-22T00:00:00Z
ORD-00114,CUS-0557,2024-10-29,PROD-062,1,282.17,282.17,USD,paypal,paid,processing,international,TRACK-1PQIPG8X,2024-11-19,,2024-10-29T00:00:00Z,2025-05-20T00:00:00Z
ORD-00115,CUS-0722,2025-05-10,PROD-017,4,657.92,2631.68,USD,debit_card,paid,delivered,next_day,TRACK-IKS62C1J,2025-05-11,2025-05-13,2025-05-10T00:00:00Z,2025-08-18T00:00:00Z
ORD-00116,CUS-0829,2025-03-11,PROD-057,4,81.68,326.72,USD,crypto,paid,shipped,standard,TRACK-J0M3LOUF,2025-03-17,,2025-03-11T00:00:00Z,2025-05-06T00:00:00Z
ORD-00117,CUS-0971,2025-09-17,PROD-079,3,363.45,1090.35,USD,credit_card,paid,confirmed,express,TRACK-A02DZ61T,2025-09-21,,2025-09-17T00:00:00Z,2025-11-22T00:00:00Z
ORD-00118,CUS-0216,2025-07-02,PROD-047,2,81.88,163.76,USD,bank_transfer,partially_refunded,refunded,next_day,TRACK-I26LH07B,2025-07-03,2025-07-03,2025-07-02T00:00:00Z,2025-11-13T00:00:00Z
ORD-00119,CUS-0105,2025-02-11,PROD-065,4,339.44,1357.76,USD,credit_card,paid,placed,standard,TRACK-AWYB03NO,2025-02-21,,2025-02-11T00:00:00Z,2025-03-26T00:00:00Z
ORD-00120,CUS-0079,2025-05-31,PROD-010,4,1931.10,7724.40,USD,debit_card,pending,placed,standard,TRACK-02GVLLSA,2025-06-07,,2025-05-31T00:00:00Z,2025-07-21T00:00:00Z
ORD-00121,CUS-0103,2025-11-02,PROD-034,5,347.18,1735.90,USD,bank_transfer,paid,out_for_delivery,standard,TRACK-PIOKKZSN,2025-11-10,,2025-11-02T00:00:00Z,2025-11-27T00:00:00Z
ORD-00122,CUS-0975,2025-07-13,PROD-048,1,127.33,127.33,USD,credit_card,paid,out_for_delivery,express,TRACK-9OINUXL3,2025-07-15,,2025-07-13T00:00:00Z,2025-12-03T00:00:00Z
ORD-00123,CUS-0174,2025-05-16,PROD-027,5,795.29,3976.45,USD,credit_card,paid,processing,standard,TRACK-O4S41CRO,2025-05-26,,2025-05-16T00:00:00Z,2025-12-15T00:00:00Z
ORD-00124,CUS-0155,2024-11-25,PROD-005,5,925.08,4625.40,USD,credit_card,paid,delivered,standard,TRACK-JHURR8IQ,2024-12-03,2024-12-03,2024-11-25T00:00:00Z,2025-06-30T00:00:00Z
ORD-00125,CUS-0717,2025-01-19,PROD-010,2,1931.10,3862.20,USD,debit_card,paid,delayed,standard,TRACK-SEH5E5RW,2025-01-28,,2025-01-19T00:00:00Z,2025-03-31T00:00:00Z
ORD-00126,CUS-0767,2025-03-04,PROD-071,4,489.66,1958.64,USD,debit_card,pending,placed,express,TRACK-9Z5JL6UF,2025-03-07,,2025-03-04T00:00:00Z,2025-06-16T00:00:00Z
