ticket_id,customer_id,order_id,product_id,created_at,channel,subject,message,category,subcategory,intent,priority,sentiment,assigned_team,status,resolution,resolution_code,resolution_time_minutes,escalated,escalation_reason,customer_satisfaction,first_response_time_minutes
TKT-0016,CUS-0113,,,2024-09-21T00:00:00Z,web,Issue with my shipment — order help needed,I placed an order 2 days ago and my package hasn't arrived yet. The tracking number shows it's still in transit. Can you help?,shipping,delayed,change_shipping_address,P2,negative,shipping_support,closed,Rescheduled delivery for next business day.,REFUNDED,1346,false,,4,194
TKT-0017,CUS-0463,,PROD-092,2024-11-29T00:00:00Z,email,Question about my order,My order was split into two shipments without any notification. When will the second one arrive?,orders,modification,report_wrong_item,P3,negative,enterprise_support,resolved,Order confirmed active; shipping label generated.,CANCELLED,861,false,,5,163
TKT-0018,CUS-0507,ORD-04021,PROD-043,2025-04-15T00:00:00Z,web,Technical support needed,I'm getting error code E-886 when trying to use the device. What does this mean?,technical,software,setup_issue,P2,neutral,technical_support,in_progress,,,,false,,,133
TKT-0019,CUS-0481,,PROD-024,2025-04-25T00:00:00Z,chat,Payment problem on my account,I was charged a different amount than what was shown at checkout. There seems to be a discrepancy.,payments,update_method,payment_failure,P1,negative,billing_support,in_progress,,,,true,Policy exception required,,163
TKT-0020,CUS-0691,,PROD-012,2025-10-23T00:00:00Z,phone,Return request for recent order,I'm an enterprise customer. I have a large order I need to return — what's the process for bulk returns?,returns,policy,check_return_eligibility,P2,negative,returns_support,closed,Return label issued. Customer to ship item within 7 days.,EXCEPTION_APPLIED,297,true,High-value order involved,5,68
TKT-0021,CUS-0721,,PROD-006,2025-10-12T00:00:00Z,chat,Question about my order,I placed an order 22 days ago and it's still in processing status. When will it ship?,orders,missing_item,report_wrong_item,P3,negative,general_support,closed,Order modification applied before shipment cutoff.,RESHIPPED,1057,false,,2,207
TKT-0022,CUS-0326,,,2025-12-08T00:00:00Z,web,Question about my order,My order was split into two shipments without any notification. When will the second one arrive?,orders,modification,modify_order,P3,neutral,general_support,closed,Order successfully cancelled. Refund initiated.,CONFIRMED,1249,true,Customer requested supervisor,2,149
TKT-0023,CUS-0740,,PROD-094,2025-09-05T00:00:00Z,email,Account access issue,I'm locked out of my account after too many failed login attempts. How do I unlock it?,account,password,close_account,P3,neutral,general_support,in_progress,,,,false,,,204
TKT-0024,CUS-0580,,PROD-044,2025-06-10T00:00:00Z,web,Return request for recent order,The laptop I bought 2 days ago isn't working properly. I'd like to initiate a return. Is it within the return window?,returns,defective,return_status,P2,negative,returns_support,waiting_for_customer,,,,false,,,96
TKT-0025,CUS-0148,ORD-04359,,2024-12-08T00:00:00Z,phone,Product question / issue,I'm trying to determine if this laptop is compatible with the external monitor I already own.,products,defect,product_compatibility,P2,neutral,technical_support,closed,Replacement product shipped under warranty.,REGISTRATION_DONE,989,false,,5,11
TKT-0026,CUS-0492,,,2025-03-09T00:00:00Z,email,Account access issue,I need to update my billing address. I've moved and need to update my details.,account,email,account_locked,P1,neutral,general_support,closed,Account unlocked. Security review completed.,EMAIL_UPDATED,61,false,,3,113
TKT-0027,CUS-0627,,PROD-003,2025-06-19T00:00:00Z,chat,Security concern — urgent,I'm concerned about how my personal data is being used. I want to request a copy of my data.,security,data,account_compromise,P3,negative,security_support,in_progress,,,,false,,,13
TKT-0028,CUS-0774,ORD-00651,,2025-08-21T00:00:00Z,chat,Warranty claim request,The product was repaired under warranty but the same issue has returned. What are my options?,warranty,extension,warranty_replacement,P1,neutral,returns_support,resolved,Warranty claim approved. Replacement unit shipped.,WARRANTY_EXTENDED,236,true,High-value order involved,5,126
TKT-0029,CUS-0967,ORD-00410,PROD-079,2025-06-22T00:00:00Z,web,Product question / issue,I'm having trouble setting up my new device. The instructions aren't clear.,products,defect,product_recommendation,P3,neutral,technical_support,in_progress,,,,false,,,63
TKT-0030,CUS-0785,,,2024-11-10T00:00:00Z,email,Refund not received / billing issue,I'm seeing a pending charge that I don't recognize. I never placed an order for this amount.,refunds,cancellation,check_refund_status,P2,negative,billing_support,resolved,Full refund approved for cancelled order.,FULL_REFUND,923,false,,4,229
TKT-0031,CUS-0251,,,2024-09-10T00:00:00Z,email,Payment problem on my account,I'm getting an error message saying my billing address doesn't match. I've confirmed it's correct.,payments,invoice,update_payment_method,P2,negative,billing_support,waiting_for_customer,,,,false,,,26
TKT-0032,CUS-0741,ORD-01986,PROD-030,2024-09-24T00:00:00Z,web,Question about my order,My order shows as delivered but it only partially arrived — some items are missing.,orders,cancellation,report_wrong_item,P3,negative,general_support,waiting_for_customer,,,,true,Issue unresolved after multiple contacts,,210
TKT-0033,CUS-0923,,,2024-09-08T00:00:00Z,chat,Return request for recent order,I received a damaged item in my order. The packaging was intact but the product itself is cracked. I need to return it.,returns,defective,initiate_return,P2,angry,returns_support,resolved,Return approved and replacement shipped express.,REPLACEMENT_SENT,225,false,,3,68
TKT-0034,CUS-0226,,PROD-004,2025-02-19T00:00:00Z,phone,Technical support needed,My device is overheating during normal use. The fan seems to be running constantly.,technical,connectivity,connectivity_problem,P2,neutral,technical_support,resolved,Hardware defect confirmed. Replacement unit authorized.,DRIVER_UPDATE,63,false,,4,107
TKT-0035,CUS-0993,,PROD-021,2024-10-05T00:00:00Z,web,Product question / issue,Can you tell me if a specific product will be back in stock soon?,products,compatibility,product_registration,P2,negative,technical_support,open,,,,false,,,35
TKT-0036,CUS-0179,,,2025-01-26T00:00:00Z,phone,Issue with my shipment — order help needed,I received a notification that my package was delivered but it's not here. Could it have been delivered to the wrong address?,shipping,lost_package,report_delayed_delivery,P0,negative,shipping_support,open,,,,false,,,80
TKT-0037,CUS-0760,ORD-01987,PROD-095,2025-03-18T00:00:00Z,email,Product question / issue,Is this product compatible with Mac OS? The listing only mentions Windows.,products,compatibility,product_recommendation,P3,negative,technical_support,in_progress,,,,true,Policy exception required,,33
TKT-0038,CUS-0461,,PROD-045,2025-08-16T00:00:00Z,email,Account access issue,I have two accounts with the same email. I want to merge the order history into one account.,account,closure,account_locked,P0,negative,general_support,in_progress,,,,false,,,98
TKT-0039,CUS-0936,,PROD-075,2025-07-25T00:00:00Z,web,Warranty claim request,What exactly is covered under the standard warranty? I'm not sure if my issue qualifies.,warranty,coverage,warranty_claim,P2,negative,returns_support,closed,Out-of-warranty repair approved at discounted rate.,CLAIM_REJECTED,1122,false,,5,190
TKT-0040,CUS-0720,,,2025-06-27T00:00:00Z,web,Security concern — urgent,I noticed several unauthorized purchases on my account that I didn't make. I need help immediately.,security,phishing,data_breach_concern,P3,negative,security_support,closed,"Unauthorized access confirmed. Account secured, password reset forced, customer notified.",ACCOUNT_SECURED,11,false,,4,137
TKT-0041,CUS-0794,ORD-04572,,2025-06-08T00:00:00Z,email,Technical support needed,The device is running very slowly after a recent software update. How do I roll back?,technical,connectivity,compatibility_issue,P2,negative,technical_support,closed,Driver update resolved connectivity issue.,FACTORY_RESET,426,false,,2,35
TKT-0042,CUS-0985,ORD-01063,,2024-11-29T00:00:00Z,email,Return request for recent order,I opened the box but decided the product isn't what I need. Can I still return it even though it's been opened?,returns,policy,initiate_return,P2,neutral,returns_support,open,,,,false,,,190
TKT-0043,CUS-0127,,,2025-06-23T00:00:00Z,email,Refund not received / billing issue,I cancelled my order within minutes of placing it but I was still charged. When will I receive my refund?,refunds,timeline,dispute_charge,P2,negative,billing_support,closed,Duplicate charge reversed. Credit will appear within 3-7 business days.,PARTIAL_REFUND,1221,false,,4,194
TKT-0044,CUS-0373,,,2025-10-09T00:00:00Z,chat,Account access issue,I need to update my email address. The current one is from a job I no longer have.,account,profile,close_account,P2,angry,general_support,resolved,Password reset email resent. Customer advised to check spam folder.,2FA_ENABLED,849,false,,4,6
TKT-0045,CUS-0850,,,2024-08-09T00:00:00Z,chat,Question about my order,I ordered the wrong size/color variant. Can this be changed or do I need to cancel and reorder?,orders,wrong_item,cancel_order,P2,negative,general_support,resolved,Missing item reshipped at no charge.,CANCELLED,1389,true,Customer expressed extreme dissatisfaction,5,131
TKT-0046,CUS-0662,,PROD-062,2025-02-26T00:00:00Z,email,Technical support needed,My device won't turn on even after charging it fully overnight. I've tried holding the power button.,technical,connectivity,compatibility_issue,P2,neutral,technical_support,open,,,,true,Customer requested supervisor,,46
TKT-0047,CUS-0859,,PROD-078,2025-05-28T00:00:00Z,web,Question about my order,My order shows as processing but I haven't received any shipping confirmation email yet.,orders,status,check_order_status,P3,negative,general_support,open,,,,false,,,8
TKT-0048,CUS-0125,,PROD-081,2025-05-30T00:00:00Z,email,Account access issue,I want to remove a saved payment method from my account but can't find the option.,account,merge,password_reset,P3,angry,general_support,waiting_for_customer,,,,false,,,20
TKT-0049,CUS-0180,,,2025-05-19T00:00:00Z,phone,Issue with my shipment — order help needed,I need to change my delivery address. My order hasn't shipped yet — is it too late to update?,shipping,delayed,track_shipment,P2,negative,shipping_support,resolved,Filed lost package claim with carrier. Refund or replacement offered.,REFUNDED,552,false,,5,9
TKT-0050,CUS-0154,,PROD-100,2024-09-08T00:00:00Z,web,Account access issue,I have two accounts with the same email. I want to merge the order history into one account.,account,profile,account_security,P2,angry,general_support,waiting_for_customer,,,,false,,,165
TKT-0051,CUS-0741,ORD-00623,,2024-10-14T00:00:00Z,email,Account access issue,My account seems to have been hacked. I see order history for purchases I didn't make.,account,profile,close_account,P2,positive,general_support,in_progress,,,,false,,,156
TKT-0052,CUS-0708,,PROD-032,2025-08-26T00:00:00Z,phone,Payment problem on my account,The payment authorization failed even though my bank says the transaction was approved.,payments,update_method,payment_authorization_issue,P3,neutral,billing_support,resolved,Alternative payment method accepted; order confirmed.,AUTHORIZATION_HOLD,1075,false,,2,111
TKT-0053,CUS-0183,,,2024-10-30T00:00:00Z,chat,Account access issue,I'm locked out of my account after too many failed login attempts. How do I unlock it?,account,security,account_security,P2,negative,general_support,closed,Email address updated successfully.,EMAIL_UPDATED,897,false,,2,135
TKT-0054,CUS-0113,,PROD-017,2024-07-25T00:00:00Z,web,Question about my order,My order shows as processing but I haven't received any shipping confirmation email yet.,orders,cancellation,modify_order,P3,negative,general_support,closed,Order confirmed active; shipping label generated.,MODIFIED,306,false,,4,68
TKT-0055,CUS-0722,ORD-00617,PROD-011,2025-11-14T00:00:00Z,web,Product question / issue,The specs say the battery lasts 8 hours but mine barely lasts 3. Is this a defect?,products,inquiry,product_compatibility,P2,angry,technical_support,open,,,,false,,,34
TKT-0056,CUS-0295,,PROD-092,2024-07-26T00:00:00Z,web,Issue with my shipment — order help needed,I need to change my delivery address. My order hasn't shipped yet — is it too late to update?,shipping,address_change,report_lost_package,P2,positive,shipping_support,resolved,Provided tracking information and escalated to carrier for priority tracing.,CARRIER_INVESTIGATION,101,false,,4,184
TKT-0057,CUS-0598,,PROD-054,2025-01-18T00:00:00Z,chat,Payment problem on my account,I need an official invoice for my order for tax purposes. Can you send me one?,payments,billing,payment_failure,P3,negative,billing_support,in_progress,,,,false,,,131
TKT-0058,CUS-0843,,PROD-007,2025-12-03T00:00:00Z,email,Product question / issue,I need a product that can handle video editing. Which items in your catalog would you recommend?,products,compatibility,product_inquiry,P3,angry,technical_support,open,,,,false,,,198
TKT-0059,CUS-0169,,PROD-034,2025-12-02T00:00:00Z,chat,Return request for recent order,I purchased a smartphone 24 days ago. I know electronics have a shorter return window — am I still eligible?,returns,exchange,report_defective_item,P3,neutral,returns_support,closed,Return label issued. Customer to ship item within 7 days.,RETURN_APPROVED,550,false,,5,41
TKT-0060,CUS-0275,,,2025-12-11T00:00:00Z,chat,Security concern — urgent,I received a notification about a login from a location I've never been to. I think my account is compromised.,security,account_compromise,account_compromise,P2,negative,security_support,waiting_for_customer,,,,false,,,25
TKT-0061,CUS-0819,,,2025-10-04T00:00:00Z,email,Product question / issue,I'm having trouble setting up my new device. The instructions aren't clear.,products,recommendation,product_compatibility,P2,angry,technical_support,closed,Missing accessory dispatched as separate shipment.,INFO_PROVIDED,741,false,,4,122
TKT-0062,CUS-0399,,PROD-021,2024-11-29T00:00:00Z,chat,Refund not received / billing issue,I'm seeing a pending charge that I don't recognize. I never placed an order for this amount.,refunds,timeline,dispute_charge,P3,negative,billing_support,closed,Duplicate charge reversed. Credit will appear within 3-7 business days.,FULL_REFUND,742,false,,2,77
TKT-0063,CUS-0844,,PROD-084,2025-09-02T00:00:00Z,web,Payment problem on my account,I'm getting an error message saying my billing address doesn't match. I've confirmed it's correct.,payments,authorization,payment_failure,P1,negative,billing_support,in_progress,,,,false,,,157
TKT-0064,CUS-0082,,PROD-026,2025-07-31T00:00:00Z,email,Security concern — urgent,I'm concerned about how my personal data is being used. I want to request a copy of my data.,security,unauthorized_access,data_breach_concern,P3,neutral,security_support,in_progress,,,,false,,,31
TKT-0065,CUS-0594,,PROD-086,2025-11-06T00:00:00Z,email,Warranty claim request,I need to check if my product is still under warranty. I've had it for about 23 months.,warranty,claim,check_warranty_status,P3,angry,returns_support,closed,Warranty extended by 12 months as goodwill gesture.,WARRANTY_REPAIR,799,false,,5,147
TKT-0066,CUS-0838,,,2025-08-16T00:00:00Z,web,Refund not received / billing issue,I was charged twice for the same order. I can see two identical transactions on my credit card statement.,refunds,cancellation,report_duplicate_charge,P2,angry,billing_support,in_progress,,,,false,,,108
TKT-0067,CUS-0375,,,2025-10-30T00:00:00Z,email,Issue with my shipment — order help needed,I need to change my delivery address. My order hasn't shipped yet — is it too late to update?,shipping,wrong_address,report_delayed_delivery,P1,negative,shipping_support,resolved,Processed reshipment of order to correct address at no extra charge.,TRACKING_PROVIDED,100,false,,5,44
TKT-0068,CUS-0880,,,2024-08-04T00:00:00Z,chat,Issue with my shipment — order help needed,I ordered express shipping but it's been 25 days and still nothing. This should have arrived already.,shipping,wrong_address,report_wrong_address,P2,neutral,enterprise_support,resolved,Provided tracking information and escalated to carrier for priority tracing.,REFUNDED,1386,false,,3,109
TKT-0069,CUS-0340,,PROD-082,2025-03-27T00:00:00Z,phone,Issue with my shipment — order help needed,My order shows it shipped but I never received a tracking number via email. How can I find out where my package is?,shipping,lost_package,report_lost_package,P1,neutral,shipping_support,open,,,,false,,,134
TKT-0070,CUS-0615,,,2025-07-28T00:00:00Z,phone,Technical support needed,My device is overheating during normal use. The fan seems to be running constantly.,technical,hardware,connectivity_problem,P2,negative,technical_support,closed,Driver update resolved connectivity issue.,FIRMWARE_UPDATE,1372,false,,2,10
TKT-0071,CUS-0573,ORD-00448,PROD-003,2024-07-25T00:00:00Z,web,Question about my order,My order shows as processing but I haven't received any shipping confirmation email yet.,orders,wrong_item,modify_order,P2,angry,general_support,closed,Wrong item return label issued; correct item shipped.,CANCELLED,503,true,High-value order involved,4,70
TKT-0072,CUS-0314,,PROD-079,2025-06-09T00:00:00Z,phone,Security concern — urgent,I noticed several unauthorized purchases on my account that I didn't make. I need help immediately.,security,unauthorized_access,account_compromise,P3,neutral,security_support,open,,,,false,,,34
TKT-0073,CUS-0322,,,2025-11-15T00:00:00Z,phone,Payment problem on my account,I need an official invoice for my order for tax purposes. Can you send me one?,payments,update_method,payment_failure,P3,neutral,billing_support,in_progress,,,,false,,,116
TKT-0074,CUS-0360,,PROD-070,2025-07-13T00:00:00Z,chat,Product question / issue,Is this product compatible with Mac OS? The listing only mentions Windows.,products,defect,product_defect,P1,negative,technical_support,closed,Product registration completed manually by support agent.,REGISTRATION_DONE,204,false,,4,132
TKT-0075,CUS-0073,,PROD-010,2025-05-07T00:00:00Z,email,Account access issue,I want to remove a saved payment method from my account but can't find the option.,account,security,close_account,P3,neutral,general_support,resolved,Password reset email resent. Customer advised to check spam folder.,PASSWORD_RESET,744,false,,5,2
TKT-0076,CUS-0691,,,2025-10-07T00:00:00Z,web,Security concern — urgent,I received a notification about a login from a location I've never been to. I think my account is compromised.,security,unauthorized_access,fraud_report,P3,angry,security_support,open,,,,true,Issue unresolved after multiple contacts,,214
TKT-0077,CUS-0019,,,2024-11-25T00:00:00Z,chat,Payment problem on my account,I'm getting an error message saying my billing address doesn't match. I've confirmed it's correct.,payments,authorization,payment_authorization_issue,P3,negative,billing_support,in_progress,,,,false,,,211
TKT-0078,CUS-0475,,PROD-089,2024-12-31T00:00:00Z,web,Technical support needed,The display has dead pixels. I noticed them right after unboxing. This seems like a defect.,technical,hardware,connectivity_problem,P3,neutral,technical_support,in_progress,,,,true,Issue unresolved after multiple contacts,,56
TKT-0079,CUS-0870,,,2025-04-02T00:00:00Z,web,Question about my order,"I received a confirmation email but when I check my account, I don't see the order listed.",orders,modification,check_order_status,P3,neutral,general_support,open,,,,false,,,15
TKT-0080,CUS-0766,,,2024-06-21T00:00:00Z,web,Product question / issue,Can you help me understand the difference between the two models I'm considering?,products,recommendation,product_compatibility,P2,neutral,technical_support,closed,Missing accessory dispatched as separate shipment.,COMPATIBILITY_CONFIRMED,691,false,,5,201
TKT-0081,CUS-0777,,PROD-086,2025-06-20T00:00:00Z,email,Product question / issue,Is this product compatible with Mac OS? The listing only mentions Windows.,products,defect,product_registration,P2,negative,technical_support,in_progress,,,,false,,,71
TKT-0082,CUS-0111,,,2024-11-03T00:00:00Z,chat,Security concern — urgent,The security question on my account has been changed without my knowledge.,security,data,unauthorized_access,P3,neutral,security_support,waiting_for_customer,,,,false,,,136
TKT-0083,CUS-0101,,PROD-038,2024-10-11T00:00:00Z,web,Issue with my shipment — order help needed,I need to change my delivery address. My order hasn't shipped yet — is it too late to update?,shipping,address_change,report_lost_package,P3,neutral,shipping_support,in_progress,,,,false,,,219
TKT-0084,CUS-0619,ORD-00341,PROD-031,2024-06-24T00:00:00Z,phone,Product question / issue,Can you help me understand the difference between the two models I'm considering?,products,inquiry,product_defect,P3,angry,technical_support,closed,Replacement product shipped under warranty.,WARRANTY_REPLACEMENT,614,false,,4,113
TKT-0085,CUS-0161,,PROD-044,2025-09-16T00:00:00Z,chat,Security concern — urgent,The security question on my account has been changed without my knowledge.,security,unauthorized_access,account_compromise,P3,neutral,security_support,waiting_for_customer,,,,true,Security concern flagged,,6
TKT-0086,CUS-0170,ORD-04221,,2025-01-07T00:00:00Z,web,Security concern — urgent,I received a notification about a login from a location I've never been to. I think my account is compromised.,security,account_compromise,unauthorized_access,P2,angry,security_support,in_progress,,,,false,,,69
TKT-0087,CUS-0817,,,2025-04-08T00:00:00Z,chat,Warranty claim request,My warranty repair is taking longer than expected. When will I get my product back?,warranty,status,extend_warranty,P3,negative,returns_support,in_progress,,,,true,High-value order involved,,100
TKT-0088,CUS-0607,,,2025-06-13T00:00:00Z,web,Return request for recent order,I received a damaged item in my order. The packaging was intact but the product itself is cracked. I need to return it.,returns,damaged,initiate_return,P2,angry,returns_support,closed,Return label issued. Customer to ship item within 7 days.,ENTERPRISE_RETURN,1190,true,Issue unresolved after multiple contacts,5,27
TKT-0089,CUS-0969,,,2025-03-01T00:00:00Z,email,Return request for recent order,My item arrived defective straight out of the box. I haven't even used it. What's the fastest way to get a replacement?,returns,damaged,report_damaged_item,P0,neutral,returns_support,resolved,Exception approved due to damaged item — extended return window applied.,RETURN_APPROVED,1173,false,,4,4
TKT-0090,CUS-0115,ORD-04493,PROD-053,2024-09-06T00:00:00Z,web,Question about my order,I placed an order 18 days ago and it's still in processing status. When will it ship?,orders,cancellation,cancel_order,P3,neutral,general_support,closed,Wrong item return label issued; correct item shipped.,WRONG_ITEM_RESOLVED,809,false,,2,81
TKT-0091,CUS-0785,,PROD-099,2024-09-10T00:00:00Z,web,Issue with my shipment — order help needed,The carrier attempted delivery but I wasn't home. I haven't been able to reschedule a redelivery through their site.,shipping,lost_package,report_delayed_delivery,P2,angry,shipping_support,in_progress,,,,false,,,104
TKT-0092,CUS-0078,,,2025-03-27T00:00:00Z,email,Account access issue,I want to remove a saved payment method from my account but can't find the option.,account,profile,account_security,P3,negative,general_support,resolved,Password reset email resent. Customer advised to check spam folder.,ACCOUNT_UNLOCKED,1279,false,,5,29
TKT-0093,CUS-0820,,PROD-082,2025-09-18T00:00:00Z,chat,Warranty claim request,The product was repaired under warranty but the same issue has returned. What are my options?,warranty,coverage,extend_warranty,P1,neutral,enterprise_support,closed,Device sent for repair under warranty. ETA 7-10 business days.,WARRANTY_REPAIR,235,false,,5,213
TKT-0094,CUS-0242,,PROD-077,2025-09-16T00:00:00Z,phone,Return request for recent order,I received the wrong item in my shipment. I ordered a blue model but got a red one. Can I exchange or return it?,returns,return_status,return_status,P2,neutral,returns_support,resolved,Return label issued. Customer to ship item within 7 days.,EXCEPTION_APPLIED,1283,false,,4,193
TKT-0095,CUS-0381,,,2025-08-25T00:00:00Z,chat,Refund not received / billing issue,I received a partial refund but I expected a full refund. Can you explain why it wasn't fully refunded?,refunds,cancellation,partial_refund_request,P2,neutral,billing_support,closed,Duplicate charge reversed. Credit will appear within 3-7 business days.,FULL_REFUND,1032,false,,5,227
TKT-0096,CUS-0685,ORD-03830,,2024-06-24T00:00:00Z,email,Refund not received / billing issue,"I disputed a charge and the bank said it was resolved, but I don't see the credit on my account yet.",refunds,timeline,partial_refund_request,P2,negative,billing_support,open,,,,false,,,161
TKT-0097,CUS-0511,ORD-00567,PROD-011,2025-08-26T00:00:00Z,email,Account access issue,I can't log into my account. I've tried resetting my password but I'm not receiving the reset email.,account,security,password_reset,P1,negative,general_support,resolved,Password reset email resent. Customer advised to check spam folder.,EMAIL_UPDATED,1324,false,,4,229
TKT-0098,CUS-0222,ORD-02717,,2025-07-15T00:00:00Z,email,Payment problem on my account,I'd like to split my payment across two different cards. Is that an option?,payments,invoice,billing_inquiry,P3,angry,billing_support,waiting_for_customer,,,,false,,,180
TKT-0099,CUS-0640,,PROD-067,2025-03-13T00:00:00Z,phone,Security concern — urgent,Someone appears to have used my account to place orders. I need all recent orders cancelled.,security,unauthorized_access,fraud_report,P3,angry,security_support,closed,Fraudulent orders cancelled. Refund initiated. Account secured.,ACCOUNT_SECURED,1126,false,,5,58
TKT-0100,CUS-0884,,,2025-11-13T00:00:00Z,web,Payment problem on my account,My credit card expired and I need to update my payment method for a pending order.,payments,authorization,invoice_request,P3,negative,billing_support,in_progress,,,,false,,,130
TKT-0101,CUS-0455,,PROD-068,2024-12-11T00:00:00Z,chat,Refund not received / billing issue,I'm seeing a pending charge that I don't recognize. I never placed an order for this amount.,refunds,cancellation,dispute_charge,P3,negative,billing_support,waiting_for_customer,,,,false,,,63
TKT-0102,CUS-0684,,PROD-032,2024-06-01T00:00:00Z,email,Return request for recent order,I received the wrong item in my shipment. I ordered a blue model but got a red one. Can I exchange or return it?,returns,defective,check_return_eligibility,P3,negative,returns_support,open,,,,false,,,14
TKT-0103,CUS-0797,,,2024-07-16T00:00:00Z,web,Warranty claim request,The product was replaced under warranty but I'm not satisfied with the replacement model.,warranty,coverage,extend_warranty,P3,neutral,returns_support,resolved,Warranty extended by 12 months as goodwill gesture.,WARRANTY_EXTENDED,190,true,Customer requested supervisor,5,30
TKT-0104,CUS-0158,ORD-02091,PROD-070,2024-11-15T00:00:00Z,chat,Payment problem on my account,I made a bank transfer 8 days ago but my order is still showing payment pending.,payments,update_method,invoice_request,P3,neutral,billing_support,closed,Customer advised to contact bank; charge appears to be a temporary authorization hold.,INVOICE_SENT,467,false,,4,117
TKT-0105,CUS-0187,ORD-04291,,2025-01-09T00:00:00Z,email,Issue with my shipment — order help needed,The carrier attempted delivery but I wasn't home. I haven't been able to reschedule a redelivery through their site.,shipping,lost_package,report_delayed_delivery,P2,neutral,shipping_support,open,,,,false,,,159
